object_1,object_2,visual_similarity,semantic_similarity,context_1,context_2,same_context,alignment_difference,multimodal_similarity
308022,308024,0.8568477630615234,1.000000238418579,Other,Other,True,0.14315247535705566,0.9284238815307617
207157,237451,1.0000001192092896,1.0000001192092896,Other,Other,True,0.0,1.0
322619,322621,0.8606919050216675,1.0,Other,Other,True,0.13930809497833252,0.9303459525108337
322610,322621,0.695922315120697,1.0,Other,Other,True,0.304077684879303,0.8479611873626709
322610,322619,0.680117666721344,1.0,Other,Other,True,0.319882333278656,0.8400588631629944
316846,316847,0.7553442716598511,1.0,Other,Other,True,0.24465572834014893,0.8776721954345703
53438,57363,0.8008774518966675,0.996751070022583,Other,Other,True,0.19587361812591553,0.8988142013549805
314524,319633,0.7190408110618591,0.9946038126945496,Other,Other,True,0.27556300163269043,0.8568223118782043
307598,307599,0.9618272185325623,0.9906069040298462,Other,Other,True,0.028779685497283936,0.9762171506881714
314523,314524,0.8300691843032837,0.9882228374481201,Other,Other,True,0.15815365314483643,0.9091459512710571
312558,313251,0.9006141424179077,0.9874252080917358,Other,Other,True,0.08681106567382812,0.9440196752548218
316436,316437,0.9037119150161743,0.9850085377693176,Other,Other,True,0.08129662275314331,0.9443602561950684
314523,319633,0.7637882828712463,0.9823172092437744,Other,Other,True,0.21852892637252808,0.8730527758598328
313251,317753,0.9206059575080872,0.9743489027023315,Other,Other,True,0.053742945194244385,0.947477400302887
312558,317753,0.916475772857666,0.9683843851089478,Other,Other,True,0.05190861225128174,0.9424301385879517
309227,315668,0.8182275295257568,0.9669063687324524,Other,Other,True,0.14867883920669556,0.8925670385360718
309944,317753,0.8880189657211304,0.9538966417312622,Other,Other,True,0.06587767601013184,0.9209578037261963
39482,53205,0.6463701725006104,0.9535652995109558,Other,Other,True,0.30719512701034546,0.7999677658081055
314217,319633,0.6960305571556091,0.9503958225250244,Other,Other,True,0.2543652653694153,0.8232132792472839
314217,314523,0.6339161992073059,0.948083758354187,Other,Other,True,0.3141675591468811,0.7910000681877136
60435,60437,0.8370509743690491,0.9467167854309082,Other,Other,True,0.10966581106185913,0.8918839693069458
314217,314524,0.6024166345596313,0.9442628622055054,Other,Other,True,0.341846227645874,0.7733397483825684
314217,318662,0.8317998647689819,0.9428291916847229,Other,Other,True,0.11102932691574097,0.8873145580291748
39931,44759,0.7765876054763794,0.9423414468765259,Other,Other,True,0.16575384140014648,0.8594645261764526
314518,314522,0.7830350399017334,0.9423208236694336,Other,Other,True,0.1592857837677002,0.8626779317855835
309540,316691,0.7697354555130005,0.9380532503128052,Other,Other,True,0.1683177947998047,0.8538942933082581
39047,39048,0.9630709290504456,0.93677818775177,Other,Other,True,0.026292741298675537,0.9499245285987854
60451,60470,0.911372184753418,0.9322218894958496,Other,Other,True,0.02084970474243164,0.9217970967292786
444865,444866,0.9054709672927856,0.9300472736358643,South_Asia,South_Asia,True,0.024576306343078613,0.9177591800689697
