object_1,object_2,visual_similarity,semantic_similarity,context_1,context_2,same_context,alignment_difference,multimodal_similarity
24316,39134,0.4333533048629761,0.6881929636001587,Himalayan,Other,False,0.2548396587371826,0.5607731342315674
24316,454738,0.3910490870475769,0.6670290231704712,Himalayan,South_Asia,False,0.2759799361228943,0.5290391445159912
24318,39134,0.4342333674430847,0.7072137594223022,Himalayan,Other,False,0.27298039197921753,0.5707235932350159
36033,57249,0.6384958028793335,0.4343411326408386,Other,Other,True,0.20415467023849487,0.5364184379577637
36033,60437,0.7319941520690918,0.490587055683136,Other,Other,True,0.2414070963859558,0.6112906336784363
36033,752005,0.644324541091919,0.5021533370018005,Other,East_Asia,False,0.1421712040901184,0.5732389688491821
36033,752008,0.6394459009170532,0.48817867040634155,Other,East_Asia,False,0.15126723051071167,0.5638123154640198
36069,68308,0.3647870123386383,0.6715718507766724,Other,Other,True,0.30678483843803406,0.5181794762611389
36069,68310,0.4144463837146759,0.6716075539588928,Other,Other,True,0.2571611702442169,0.5430269837379456
36069,451725,0.6337602138519287,0.49212580919265747,Other,Other,True,0.14163440465927124,0.5629430413246155
36131,61658,0.4383527338504791,0.6929925084114075,Other,Other,True,0.25463977456092834,0.5656726956367493
36437,41865,0.4191012382507324,0.713513970375061,Other,Other,True,0.2944127321243286,0.5663076639175415
36437,503651,0.3396502137184143,0.6666951179504395,Other,East_Asia,False,0.32704490423202515,0.5031726360321045
37804,38950,0.43697479367256165,0.7308079600334167,Other,Other,True,0.2938331663608551,0.5838913917541504
37804,39092,0.44272536039352417,0.7016428709030151,Other,Other,True,0.25891751050949097,0.5721840858459473
37804,453317,0.6903706789016724,0.44037020206451416,Other,Other,True,0.2500004768371582,0.5653704404830933
37807,320804,0.7004361152648926,0.4797661602497101,Other,Other,True,0.2206699550151825,0.5901011228561401
37807,436482,0.42405515909194946,0.68067467212677,Other,Other,True,0.25661951303482056,0.5523648858070374
37807,451308,0.6633471846580505,0.48465830087661743,Other,Other,True,0.1786888837814331,0.5740026831626892
37807,451725,0.714505672454834,0.506892204284668,Other,Other,True,0.20761346817016602,0.6106988787651062
37807,453317,0.6577805876731873,0.47341030836105347,Other,Other,True,0.1843702793121338,0.5655953884124756
37857,38634,0.4208754301071167,0.6568105220794678,Other,Other,True,0.23593509197235107,0.538843035697937
